Adam_W;79 (16);0:2 2;0:2 0;3:1 0;2:0 2;2:2 0;1:1 0;1:0 3;1:1 0;1:0 0;2:0 0;0:2 2;2:2 0;0:2 22;1:1 0;1:0 22;1:0 3;0:2 2;2:0 5;1:1 0;2:0 0;2:0 0;0:3 0;1:2 2;2:0 0;2:2 0;2:0 2;0:1 2;2:1 0;1:0 0;0:3 2;1:0 2;1:2 3;0:3 2;1:2 02;0:1 0;3:0 0;1:2 2;2:0 2;0:1 2;2:0 2;0:1 2;3:0 0;0:1 0;2:0 0;1:2 22;2:1 0;1:2 5;0:2 2;1:0 2;3:1 2
alice;103 (22);0:1 2;0:0 3;2:0 0;1:1 0;2:1 3;1:0 2;1:1 0;0:1 2;1:0 0;1:0 0;0:1 2;0:1 0;0:2 2;1:0 0;2:1 2;2:0 2;0:1 3;1:0 2;1:1 0;2:1 0;1:0 0;0:2 02;1:2 2;2:1 0;1:1 0;1:0 52;0:2 2;2:1 0;1:1 0;0:2 52;2:0 3;1:2 3;1:2 2;0:1 0;2:1 0;2:0 0;0:2 2;3:0 22;2:0 0;2:1 3;2:1 0;3:0 0;0:1 0;1:0 0;1:3 3;2:3 3;1:2 5;0:2 22;3:2 2;3:1 22
Asia;106 (24);0:2 2;1:3 0;2:0 0;2:0 2;1:1 0;1:1 0;2:0 2;0:0 0;1:0 0;3:0 02;0:2 22;2:1 3;0:2 2;2:1 0;2:0 2;1:0 3;0:2 2;3:1 3;2:1 3;1:1 5;1:0 0;0:3 02;1:2 2;3:0 0;2:0 3;3:1 2;0:2 2;1:1 0;0:1 2;0:2 5;0:1 0;0:2 2;1:2 2;1:0 3;1:1 3;3:1 0;1:2 2;2:0 22;3:1 02;2:1 3;1:3 3;2:1 0;1:2 0;1:0 0;1:0 0;1:2 5;1:3 2;0:2 22;3:2 22;1:2 0
blueskojota;96 (16);1:3 2;1:2 0;1:0 0;3:0 52;2:1 3;2:0 3;2:1 3;1:1 0;2:1 0;2:0 0;0:2 22;3:1 2;0:2 2;1:0 0;2:0 2;3:0 2;0:2 2;3:2 2;2:0 2;2:0 0;3:1 0;0:2 0;1:2 2;3:0 0;3:0 22;2:0 2;0:2 2;1:2 3;1:2 2;0:2 5;1:0 2;0:2 2;0:1 2;1:2 0;1:2 0;3:0 0;1:2 2;3:0 22;2:0 0;3:2 3;0:1 2;3:1 0;1:2 0;1:0 02;0:1 2;2:1 02;3:5 2;--;2:1 2;2:1 5
burzus;94 (28);0:2 2;0:2 0;2:0 0;2:1 2;1:2 0;3:0 2;2:2 0;0:2 5;1:1 0;3:2 0;1:2 2;2:2 0;0:2 2;0:2 5;2:0 2;2:0 2;0:3 2;3:1 32;2:0 2;2:1 0;2:0 0;0:2 02;1:2 2;3:0 02;1:1 0;3:0 2;0:4 2;2:1 0;1:1 0;0:3 2;2:0 3;2:1 0;0:2 2;3:1 2;1:2 0;2:0 0;0:2 2;3:1 22;3:1 02;2:1 3;2:1 0;2:0 0;1:2 0;2:0 0;1:2 2;3:2 0;1:3 2;1:2 22;3:1 32;3:1 2
chrobry;109 (22);0:2 2;0:2 0;2:0 0;2:0 2;2:1 3;2:0 3;2:0 2;1:0 0;2:0 0;3:1 0;0:2 2;2:1 3;0:2 2;1:0 0;2:0 2;2:0 2;0:2 2;2:0 5;2:0 2;2:0 0;2:0 02;0:3 02;0:1 2;3:1 0;1:0 2;3:0 22;1:2 2;1:0 0;0:1 2;0:2 5;2:1 2;0:1 5;0:2 2;0:1 0;1:2 0;2:0 0;0:1 2;3:0 22;2:0 0;2:1 3;1:2 2;2:0 02;2:1 2;1:0 0;1:2 2;1:2 5;1:2 5;0:2 22;2:1 2;2:0 22
DEMICOM;112 (22);0:2 2;1:2 0;2:0 02;2:1 2;2:1 3;1:0 2;2:0 2;1:1 0;2:1 0;2:0 0;0:2 2;2:2 0;0:1 5;1:0 0;2:0 2;2:0 2;0:2 2;2:0 52;1:0 5;2:1 0;2:0 0;0:3 02;1:2 2;3:0 0;1:0 2;2:0 2;0:2 2;1:1 0;1:2 2;0:2 5;2:1 2;1:1 0;0:2 2;1:2 0;1:2 0;3:0 0;0:2 2;3:0 22;1:0 0;2:1 3;1:2 2;2:0 02;1:2 0;1:2 5;1:2 2;1:2 5;1:2 5;0:2 22;2:1 22;2:1 5
FilipST;96 (20);0:2 2;0:2 0;1:1 0;3:1 22;2:0 22;2:1 2;3:1 22;1:0 0;1:0 0;2:0 0;0:1 2;1:1 0;0:2 2;1:1 0;2:0 2;0:0 0;0:2 2;2:1 2;2:0 2;1:0 0;4:0 0;0:3 0;1:1 0;3:1 0;2:0 3;1:1 0;0:1 2;1:0 0;2:1 0;0:3 2;3:1 5;1:3 2;0:2 2;2:2 0;1:1 3;1:0 0;1:2 2;2:0 22;1:0 0;1:0 5;2:0 0;1:0 0;1:0 22;0:1 3;2:1 0;1:3 2;1:2 5;0:2 22;3:1 32;2:0 2
Gad77;122 (20);1:2 2;1:1 5;1:0 0;2:0 2;1:0 5;1:0 2;1:1 0;1:1 0;1:0 0;2:0 0;0:3 5;2:1 3;0:2 2;1:0 0;1:0 2;2:0 22;0:2 22;1:0 2;1:0 5;1:0 0;3:0 0;0:2 0;1:0 0;3:0 0;1:0 2;1:0 5;0:2 2;1:1 0;2:1 0;0:2 5;1:0 2;0:1 5;0:2 22;0:1 0;2:1 0;1:1 3;1:2 2;2:0 22;1:0 0;1:2 0;1:2 2;2:0 02;1:0 2;1:2 5;1:2 2;1:2 5;1:2 5;0:3 22;2:1 2;1:0 3
gretam;114 (24);0:2 2;1:1 5;2:1 0;3:1 2;2:1 3;3:0 2;2:0 2;1:1 0;2:1 0;2:0 0;0:3 5;3:2 3;2:1 0;0:1 2;2:0 2;2:0 2;--;1:0 2;1:0 5;1:1 5;2:0 0;0:3 02;1:2 2;2:0 02;1:0 2;2:0 2;0:2 2;1:2 3;1:2 2;0:2 5;1:0 2;1:2 3;0:2 2;1:2 0;1:2 0;2:0 02;0:2 2;2:0 22;2:0 0;3:2 3;0:2 3;2:0 02;1:2 0;2:0 0;1:2 2;2:3 3;0:2 2;0:2 22;3:2 2;2:0 22
